+------+-------------------+--------------+
| city |        CTR        |     FREQ     |
+------+-------------------+--------------+
| 359  |  0.0059880239521  |  {359: 167}  |
| 323  |  0.00520833333333 |  {323: 192}  |
| 300  |  0.00432098765432 | {300: 1620}  |
| 398  |  0.00409836065574 |  {398: 244}  |
| 209  |   0.003003003003  | {209: 1332}  |
| 373  |  0.00297619047619 | {373: 1008}  |
| 322  |  0.00248756218905 |  {322: 804}  |
| 252  |  0.00242718446602 |  {252: 412}  |
| 193  |  0.00229023526962 | {193: 4803}  |
|  78  |  0.00227272727273 |  {78: 880}   |
| 312  |  0.0022271714922  |  {312: 898}  |
| 183  |  0.00218435998253 | {183: 2289}  |
| 210  |  0.00191570881226 | {210: 2610}  |
| 255  |  0.00187969924812 |  {255: 532}  |
| 307  |  0.00185459940653 | {307: 2696}  |
| 394  |  0.00182648401826 | {394: 5475}  |
| 249  |  0.00177147918512 | {249: 1129}  |
| 144  |  0.00176834659593 | {144: 3393}  |
| 385  |  0.00175438596491 |  {385: 570}  |
| 221  |  0.00162168423491 | {221: 8633}  |
| 178  |  0.00161238310223 | {178: 6202}  |
|  38  |  0.00154320987654 |  {38: 1296}  |
| 173  |  0.00153374233129 | {173: 3260}  |
|  68  |  0.00153139356815 |  {68: 2612}  |
| 146  |  0.00149782135076 | {146: 7344}  |
|  40  |   0.00146484375   |  {40: 2048}  |
| 244  |  0.0014598540146  | {244: 1370}  |
|  30  |  0.00139567341242 |  {30: 1433}  |
| 395  |  0.00139470013947 |  {395: 717}  |
|  23  |  0.00139275766017 |  {23: 8616}  |
|  74  |  0.00137931034483 |  {74: 1450}  |
| 139  |  0.00137788494661 | {139: 2903}  |
| 299  |  0.00135697485073 | {299: 11054} |
| 326  |  0.00135685210312 |  {326: 737}  |
| 186  |  0.00135562584727 | {186: 4426}  |
|  11  |  0.00131233595801 |  {11: 4572}  |
| 357  |  0.00129701686122 |  {357: 771}  |
| 194  |  0.00129324280634 | {194: 3093}  |
|  73  |  0.00126806999746 |  {73: 3943}  |
| 360  |  0.00124599501602 | {360: 5618}  |
| 163  |  0.0012353304509  | {163: 8095}  |
| 382  |  0.00122349102773 | {382: 2452}  |
|  37  |  0.00121432908318 |  {37: 1647}  |
|  70  |  0.0012082158679  |  {70: 2483}  |
| 314  |  0.00120336943442 |  {314: 831}  |
| 336  |  0.00119664938173 | {336: 5014}  |
| 207  |  0.00117343346632 | {207: 4261}  |
| 103  |  0.00117050331643 | {103: 2563}  |
| 230  |  0.0011632415665  | {230: 2579}  |
|  83  |  0.00113846591718 | {83: 14054}  |
| 340  |  0.00113096584483 | {340: 4421}  |
| 306  |  0.00112951807229 | {306: 2656}  |
| 191  |  0.00112587255123 | {191: 4441}  |
| 196  |  0.00111275964392 | {196: 2696}  |
| 393  |  0.00110698189294 | {393: 12647} |
| 316  |  0.00109769484083 |  {316: 911}  |
| 211  |  0.00109553023663 | {211: 4564}  |
|  16  |  0.00108830076676 | {16: 20215}  |
|  12  |  0.00108499095841 | {12: 11060}  |
| 203  |  0.0010838150289  | {203: 5536}  |
| 132  |  0.00108078897595 | {132: 3701}  |
