+---------------------+-------------------+--------------+
| ad_slot_floor_price |        CTR        |     FREQ     |
+---------------------+-------------------+--------------+
|          85         |       0.125       |   {85: 8}    |
|         154         |  0.0240963855422  |  {154: 83}   |
|         280         |  0.00191662673694 | {280: 2087}  |
|         192         |  0.00189933523267 | {192: 1053}  |
|         125         |  0.00151171579743 | {125: 1323}  |
|          0          |  0.00127279935376 | {0: 670962}  |
|          70         |  0.00105860049042 | {70: 352352} |
|         148         |  0.00104373757455 | {148: 20120} |
|         140         |  0.00101445599797 | {140: 11829} |
|         177         | 0.000943574259294 | {177: 5299}  |
|          75         | 0.000925925925926 |  {75: 1080}  |
|          89         | 0.000867302688638 |  {89: 1153}  |
|          23         | 0.000796812749004 |  {23: 2510}  |
|          80         | 0.000785852395436 | {80: 176878} |
|         162         | 0.000763617851688 | {162: 11786} |
|         118         | 0.000684931506849 | {118: 1460}  |
|         133         | 0.000678978815861 | {133: 7364}  |
|          10         |  0.0006100288747  | {10: 24589}  |
|          5          | 0.000601920835608 | {5: 677830}  |
|          31         | 0.000565839463261 | {31: 61855}  |
|          8          | 0.000516706854978 |  {8: 5806}   |
|         103         | 0.000500125031258 | {103: 3999}  |
|          40         | 0.000376647834275 |  {40: 2655}  |
|          16         | 0.000368576242628 | {16: 37984}  |
|         250         |  0.00031746031746 | {250: 6300}  |
|          52         | 0.000286204922725 |  {52: 3494}  |
|          50         | 0.000277159052116 | {50: 295859} |
|          4          | 0.000197731480649 |  {4: 55631}  |
|          20         | 0.000194764242522 | {20: 323468} |
|          39         | 0.000184297825286 | {39: 10852}  |
|          24         |  0.00016155088853 |  {24: 6190}  |
|          32         | 0.000121036068748 |  {32: 8262}  |
|          59         | 3.57513138608e-05 | {59: 27971}  |
|          67         |        0.0        |  {67: 6154}  |
|          43         |        0.0        |   {43: 1}    |
|          35         |        0.0        |   {35: 1}    |
|         145         |        0.0        |  {145: 23}   |
|         144         |        0.0        |  {144: 345}  |
|         119         |        0.0        |  {119: 17}   |
|         166         |        0.0        |   {166: 2}   |
|         156         |        0.0        |   {156: 2}   |
|         124         |        0.0        |   {124: 2}   |
|         102         |        0.0        |  {102: 81}   |
|         152         |        0.0        |   {152: 2}   |
|         260         |        0.0        |   {260: 1}   |
|         239         |        0.0        |   {239: 7}   |
|          55         |        0.0        |  {55: 260}   |
|         186         |        0.0        |   {186: 3}   |
|         292         |        0.0        |  {292: 12}   |
|         139         |        0.0        |  {139: 45}   |
|         254         |        0.0        |   {254: 6}   |
|         181         |        0.0        |   {181: 9}   |
|         111         |        0.0        | {111: 3118}  |
|         141         |        0.0        |  {141: 31}   |
|         163         |        0.0        |  {163: 93}   |
|          92         |        0.0        |   {92: 7}    |
|         264         |        0.0        |   {264: 1}   |
|         219         |        0.0        |   {219: 1}   |
|          21         |        0.0        |   {21: 1}    |
|         120         |        0.0        |  {120: 106}  |
|         155         |        0.0        |  {155: 37}   |
|         146         |        0.0        |  {146: 12}   |
|          74         |        0.0        |  {74: 1344}  |
|         203         |        0.0        |   {203: 3}   |
|         298         |        0.0        |   {298: 1}   |
|         169         |        0.0        |   {169: 8}   |
|         233         |        0.0        |   {233: 4}   |
|         231         |        0.0        |  {231: 191}  |
|         104         |        0.0        |   {104: 3}   |
|         153         |        0.0        |   {153: 1}   |
|          38         |        0.0        |  {38: 279}   |
|         194         |        0.0        |  {194: 235}  |
|         121         |        0.0        |   {121: 5}   |
|         115         |        0.0        |  {115: 150}  |
|          11         |        0.0        |   {11: 22}   |
|          57         |        0.0        |   {57: 18}   |
|         235         |        0.0        |   {235: 2}   |
|          18         |        0.0        |   {18: 63}   |
|          96         |        0.0        |   {96: 2}    |
|          76         |        0.0        |   {76: 3}    |
|          25         |        0.0        |  {25: 783}   |
|         100         |        0.0        |  {100: 16}   |
|         165         |        0.0        |   {165: 1}   |
|          27         |        0.0        |   {27: 2}    |
|          37         |        0.0        |   {37: 10}   |
|         147         |        0.0        |  {147: 303}  |
|         215         |        0.0        |  {215: 11}   |
|         207         |        0.0        |   {207: 1}   |
|         284         |        0.0        |   {284: 1}   |
|         222         |        0.0        |   {222: 1}   |
|         191         |        0.0        |   {191: 1}   |
|         205         |        0.0        |   {205: 1}   |
|         189         |        0.0        |  {189: 12}   |
|         276         |        0.0        |  {276: 15}   |
|         275         |        0.0        |  {275: 273}  |
|          94         |        0.0        |  {94: 160}   |
|          22         |        0.0        |   {22: 8}    |
|         221         |        0.0        | {221: 1151}  |
|         289         |        0.0        |   {289: 4}   |
|         224         |        0.0        |   {224: 1}   |
|          93         |        0.0        |   {93: 26}   |
|         244         |        0.0        |   {244: 1}   |
|         101         |        0.0        |  {101: 15}   |
|         182         |        0.0        |   {182: 1}   |
|         199         |        0.0        |   {199: 1}   |
|          7          |        0.0        |    {7: 3}    |
|         269         |        0.0        |  {269: 87}   |
|         151         |        0.0        |   {151: 2}   |
|          73         |        0.0        |   {73: 5}    |
|         143         |        0.0        |  {143: 194}  |
|          6          |        0.0        |   {6: 90}    |
|         137         |        0.0        |   {137: 1}   |
|         236         |        0.0        |  {236: 153}  |
|          68         |        0.0        |   {68: 3}    |
|         291         |        0.0        |   {291: 1}   |
|         261         |        0.0        |   {261: 1}   |
|         131         |        0.0        |   {131: 6}   |
|         246         |        0.0        |   {246: 2}   |
|          44         |        0.0        |   {44: 60}   |
|          54         |        0.0        |   {54: 7}    |
|         123         |        0.0        |  {123: 55}   |
|          47         |        0.0        |  {47: 552}   |
|         107         |        0.0        |   {107: 6}   |
|          53         |        0.0        |   {53: 1}    |
|          61         |        0.0        |   {61: 89}   |
|          77         |        0.0        |  {77: 240}   |
|         108         |        0.0        |  {108: 27}   |
|          99         |        0.0        |   {99: 1}    |
|          51         |        0.0        |   {51: 43}   |
|         300         |        0.0        |   {300: 7}   |
|          15         |        0.0        |  {15: 254}   |
|         265         |        0.0        |  {265: 20}   |
|          82         |        0.0        |   {82: 38}   |
|         130         |        0.0        |   {130: 1}   |
|          79         |        0.0        |   {79: 2}    |
|         232         |        0.0        |   {232: 2}   |
|          13         |        0.0        |  {13: 1373}  |
|          60         |        0.0        |   {60: 4}    |
|         187         |        0.0        |   {187: 2}   |
|         132         |        0.0        |   {132: 2}   |
|         136         |        0.0        |   {136: 7}   |
|         116         |        0.0        |  {116: 20}   |
|         160         |        0.0        |   {160: 5}   |
|         105         |        0.0        |   {105: 1}   |
|          46         |        0.0        |   {46: 84}   |
|          14         |        0.0        |   {14: 1}    |
|         238         |        0.0        |  {238: 17}   |
|         251         |        0.0        |   {251: 1}   |
|         295         |        0.0        |  {295: 343}  |
|         223         |        0.0        |   {223: 6}   |
|         193         |        0.0        |   {193: 2}   |
|         117         |        0.0        |  {117: 10}   |
|          69         |        0.0        |   {69: 3}    |
|         138         |        0.0        |  {138: 24}   |
|         208         |        0.0        |   {208: 6}   |
|         217         |        0.0        |   {217: 1}   |
|          84         |        0.0        |   {84: 1}    |
|         109         |        0.0        |   {109: 1}   |
|         249         |        0.0        |   {249: 1}   |
|          81         |        0.0        |  {81: 950}   |
|         230         |        0.0        |  {230: 77}   |
|         175         |        0.0        |   {175: 1}   |
|         183         |        0.0        |   {183: 1}   |
|         142         |        0.0        |  {142: 75}   |
|         237         |        0.0        |   {237: 4}   |
|          62         |        0.0        |  {62: 4338}  |
|         184         |        0.0        |   {184: 1}   |
|         226         |        0.0        |  {226: 11}   |
|          12         |        0.0        |   {12: 24}   |
|         128         |        0.0        |   {128: 2}   |
|         240         |        0.0        |   {240: 3}   |
|         200         |        0.0        |   {200: 2}   |
|         106         |        0.0        |   {106: 1}   |
|         126         |        0.0        |   {126: 1}   |
|         204         |        0.0        |   {204: 3}   |
|          45         |        0.0        |  {45: 307}   |
|         161         |        0.0        |   {161: 1}   |
|          78         |        0.0        |   {78: 3}    |
|         294         |        0.0        |   {294: 6}   |
|          91         |        0.0        |   {91: 31}   |
|         277         |        0.0        |   {277: 2}   |
|          98         |        0.0        |   {98: 2}    |
|         263         |        0.0        |  {263: 178}  |
|         179         |        0.0        |   {179: 4}   |
|          19         |        0.0        |   {19: 2}    |
|         185         |        0.0        | {185: 2099}  |
|         299         |        0.0        |   {299: 2}   |
|         248         |        0.0        |   {248: 1}   |
|         188         |        0.0        |   {188: 3}   |
|         190         |        0.0        |   {190: 7}   |
|         290         |        0.0        |   {290: 1}   |
|         278         |        0.0        |  {278: 87}   |
|         271         |        0.0        |   {271: 4}   |
|         157         |        0.0        |  {157: 86}   |
|         234         |        0.0        |   {234: 2}   |
|          63         |        0.0        |   {63: 5}    |
|         180         |        0.0        |   {180: 2}   |
+---------------------+-------------------+--------------+
[197 rows x 3 columns]
