domain,ctr,count
trqRTuqvMNF-XMKE5SqE,1,1
trqRTuSEG9KfwqKbuKz,1,1
3KFjGK9UgN5Yg9KbuKz,1,1
trqRTuxEQNNSXqsmJFBWvpdh,0.333333,3
tSK-tydyQ9q8jdb4vAx6cvj_oT1A,0.333333,3
6hLYC198GqN_jdd4wANYNxb_oT1A,0.333333,3
trqRTudJgNFRJsMWUmpENpn,0.2,5
trqRTud0X99_1m58uG,0.2,5
trqRTu5NMIj7gspy,0.2,5
5Fa-ZDzrOTm_1m58uG,0.2,5
DruyB19aM9KcF9K4wJBWvp2,0.166667,6
trqRTuumGquRwqKbuKz,0.125,8
DJ1aG19aMo5W1m54,0.125,8
tDsFee1vdoFIjmb4JKTI,0.111111,9
trqRTvdNQQdojYk4JKTI,0.1,10
trqRTJz7OeL7gspy,0.0909091,33
DSKvQ6k0Le2ygsNo5SqfNX,0.0909091,11
DSC-exuxjea7gspy,0.0909091,11
trqRTuFJMI5W1msY,0.0909091,11
tKa-lpT7QxscFsf,0.0833333,24
3F9Elpp0dNdvjM5oaMpENpn,0.0833333,12
trqRTvKJGq5I1mKYUV,0.0833333,12
DSMxTud0G9TRJhB4JKTI,0.0769231,13
trqRTuSuMNqfJ9Kbu-,0.0769231,13
tr1Fe5f0PvToJYq8uScWvpdh,0.0714286,28
trqRTvpoQ9uoamNoumpEN0,0.0714286,14
DSMJquMuX5sraMFhuYcWvpdh,0.0625,16
lJsuTvuoMNF0jMMfa1FWUKTRmT2,0.0555556,18
5F1RQS9RGTsowhk4JKTIqxM_,0.0555556,18
trqRTvl7GQa7gspy,0.0526316,19
trqRTvNoB9KR1m58uG,0.0526316,19
DF9blS9WjourXMqrJMpENpn,0.0526316,19
trqRTvK7MIuhjsd45SqfNX,0.0512821,39
trqRTuFvMNT7amNouKxyvuC_oT1A,0.0434783,23
DJ1ETupoQNT7X9KbuKz,0.0425532,47
DFpETvFyGqSIgMm7aMpENpn,0.0416667,24
trqRTvKoMo1mgMz4JKTI,0.0416667,24
trqRTvF9gIc7FmMs,0.04,25
e1mulF9wMTKb1mNYcDFWqxMzmw,0.0384615,26
trqRTJkrP6CxDTKbuKz,0.0384615,26
tDsgqF9RM7,0.037037,27
