+--------+-------------------+---------------+
| region |        CTR        |      FREQ     |
+--------+-------------------+---------------+
|  394   |  0.00182648401826 |  {394: 5475}  |
|  395   |  0.00139470013947 |   {395: 717}  |
|  298   |  0.00123148610418 |  {298: 30045} |
|  253   |  0.0011219986536  |  {253: 13369} |
|  393   |  0.00110698189294 |  {393: 12647} |
|  359   |  0.00109489051095 |  {359: 8220}  |
|   0    |  0.00105345855801 |   {0: 56006}  |
|   15   |  0.00091628793432 |  {15: 81852}  |
|  183   | 0.000910692126016 |  {183: 99924} |
|  201   | 0.000874388611088 |  {201: 73194} |
|  325   | 0.000822368421053 |  {325: 1216}  |
|   27   | 0.000776436407354 |  {27: 39926}  |
|   79   | 0.000772556620268 |  {79: 73781}  |
|   3    | 0.000764665441331 |  {3: 142546}  |
|  134   | 0.000764512710024 |  {134: 57553} |
|  146   | 0.000748874257204 | {146: 205642} |
|  124   |  0.00074415347071 |  {124: 91379} |
|   80   | 0.000729815361084 |  {80: 228825} |
|  333   | 0.000725204899162 |  {333: 86872} |
|   94   | 0.000701767345657 |  {94: 162447} |
|  238   | 0.000701108628018 |  {238: 68463} |
|  164   | 0.000701001117221 | {164: 136947} |
|  216   | 0.000692257614097 | {216: 339469} |
|   1    | 0.000689525950909 |  {1: 133425}  |
|  368   | 0.000670016750419 |  {368: 11940} |
|   40   | 0.000668515894714 |  {40: 100222} |
|   55   | 0.000662361318099 |  {55: 60390}  |
|  374   | 0.000646195821267 |  {374: 41783} |
|  344   | 0.000632431065014 |  {344: 31624} |
|   2    | 0.000630758487081 |   {2: 44391}  |
|  308   | 0.000626990695458 |  {308: 39873} |
|   65   | 0.000606737984991 |  {65: 62630}  |
|  106   | 0.000565903107546 |  {106: 81286} |
|  275   | 0.000557329637886 |  {275: 66388} |
|  276   | 0.000546604379191 | {276: 157335} |
+--------+-------------------+---------------+
[35 rows x 3 columns]
